t_sta_info,t_sta_spec,t_sta_ad,t_sta_dat,t_sta_age
노거목 - 풍치목,느티나무 (Zelkova serrata (Thunb.) Makino),잠원동 120-1,1968-07-03,186.0
노거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),신원동 194,1968-07-03,186.0
노거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),신원동 194,1968-07-03,186.0
노거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),우면동 46-12,2000-12-20,474.0
노거목 - 당산목,회화나무 (Sophora japonica L.),우면동 218-4,2000-12-20,244.0
노거목 - 정자목,느티나무 (Zelkova serrata MAKINO),강남구 도곡동 967-2(경남아파트 내),1968-07-03,786.0
노거목 - 풍치목,은행나무 (Ginkgo biloba L.),강남구 대치동 975-8,1968-07-03,586.0
노거목 - 풍치목,느티나무 (Zelkova serrata MAKINO),강남구 일원동 730-2,1981-10-27,313.0
노거목 - 풍치목,향나무 (Juniperus chinensis),강남구 개포동 659,2000-12-20,534.0
노거목 - 명목,향나무 (Juniperus chinensis L),거여동 293-2,1968-07-03,686.0
노거목 - 명목,은행나무 (Ginkgo biloba L),방이동 88-3,1968-07-03,586.0
노거목 - 정자목,느티나무 (Zelkova serrata),문정동 29-7,1968-07-03,586.0
노거목 - 정자목,느티나무 (Zelkova serrata),문정동 28-9,1968-07-03,586.0
노거목 - 정자목,느티나무 (Zelkova serrata),방이동 88-2,1968-07-03,486.0
노거목 - 정자목,느티나무 (Zelkova serrata),방이동 88-2,1968-07-03,486.0
노거목 - 정자목,향나무 (Juniperus chinensis L.),암사동 413,,350.0
노거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),강일동 466,1985-10-02,339.0
노거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),고덕동 312-13,1985-10-02,139.0
노목 - 마을나무,팽나무 (Celtis sinensis Pers.),서구 암남동 622-55,1980-12-08,143.0
노목 - 마을나무,곰솔 (pinus thunbergi),서구 암남동 620-2,2022-01-12,132.0
노목 - 당산목,푸조나무 (Aphananthe aspera PLANCH.),부산진구 초읍동 395,1980-12-08,543.0
노목 - 당산목,푸조나무 (Aphananthe aspera PLANCH.),부산진구 초읍동 395,1980-12-08,543.0
노목 - 당산목,푸조나무 (Aphananthe aspera PLANCH.),부산진구 초읍동 395,1980-12-08,543.0
노목 - 당산목,푸조나무 (Aphananthe aspera PLANCH.),부산진구 초읍동 395,1980-12-08,543.0
노목 - 당산목,푸조나무 (Aphananthe aspera PLANCH.),부산진구 초읍동 395,1980-12-08,543.0
노목 - 당산목,푸조나무 (Aphananthe aspera PLANCH.),부산진구 초읍동 395,1980-12-08,543.0
노목 - 당산목,푸조나무 (Aphananthe aspera PLANCH.),부산진구 초읍동 395,1980-12-08,543.0
노목 - 정자목,녹나무 (Cinnamomum camphora (L.) J.Presl),부산진구 범전동 100 (시민공원 남문),2013-09-17,130.0
노목 - 당산목,은행나무 (Ginko biloba),명륜동 235,1980-12-08,222.0
노목 - 당산목,회화나무 (Sophora japonica),안락동 1012-1,1980-12-08,252.0
노목 - 정자목,푸조나무 (Aphananthe aspera),칠산동 246,1980-12-08,122.0
노목 - 정자목,팽나무 (Celtis sinensis Pers.),낙민동 293-10,1980-12-08,202.0
노목 - 당산목,소나무 (Pinus massoniana Palib.),남구 대연동 561-12번지,1980-12-08,152.0
노목 - 당산목,곰솔 (Pinus thunbergii Parl.),남구 감만동 463-1,2022-01-12,141.0
노목 - 당산목,곰솔 (Pinus thunbergii Parl.),남구 감만동 463-1,2022-01-12,106.0
노목 - 당산목,곰솔 (Pinus thunbergii Parl.),남구 감만동 463-1,2022-01-12,116.0
노목 - 당산목,곰솔 (Pinus thunbergii Parl.),남구 감만동 463-1,2022-01-12,111.0
노목 - 당산목,곰솔 (Pinus thunbergii Parl.),남구 감만동 463-1,2022-01-12,116.0
노목 - 당산목,팽나무 (Celtis sinensis Pers.),부산시 북구 화명3동 2279번지,1980-12-08,443.0
노목 - 당산목,팽나무 (Celtis sinensis Pers.),부산시 북구 화명3동 2279번지,1980-12-08,443.0
노목 - 당산목,팽나무 (Celtis sinensis Pers.),부산시 북구 화명3동 2279번지,1980-12-08,443.0
노목 - 당산목,팽나무 (Celtis sinensis Pers.),부산시 북구 화명3동 2279번지,1980-12-08,443.0
노목 - 당산목,느티나무 (Zelkova serrata (Thunb.) Makino),부산시 북구 화명3동 2279번지,1980-12-08,443.0
노목 - 당산목,회화나무 (Sophora japonica),부산시 북구 화명3동 2279번지,1980-12-08,443.0
노목 - 당산목,팽나무 (Celtis sinensis Pers.),부산시 북구 화명3동 2279번지,1980-12-08,193.0
노목 - 당산목,팽나무 (Celtis sinensis Pers.),부산시 북구 화명3동 2279번지,1980-12-08,193.0
노목 - 당산목,느티나무 (Zelkova serrata (Thunb.) Makino),부산시 북구 화명3동 2279번지,1980-12-08,193.0
노목 - 당산목,느티나무 (Zelkova serrata (Thunb.) Makino),부산시 북구 화명3동 2279번지,1980-12-08,193.0
노목 - 당산목,느티나무 (Celtis biondii Pamp.),부산시 북구 금곡동 1916번지,1980-12-08,243.0
노목 - 당산목,팽나무 (Celtis sinensis Pers.),부산시 북구 금곡동 1030번지,1980-12-08,293.0
노목 - 당산목,느티나무 (Zelkova serrata (Thunb.) Makino),석대동 257-1,1980-12-08,543.0
노목 - 당산목,소나무 (Pinus densiflora Siebold & Zucc.),중동 594-1,1980-12-08,343.0
노목 - 당산목,소나무 (Pinus densiflora Siebold & Zucc.),중동 659,1980-12-08,343.0
노목 - 정자목,이팝나무 (Chionanthus retusus Lindl. & Paxton),석대동 468-1,1980-12-08,343.0
노목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),석대동 468-1,1980-12-08,343.0
노목 - 정자목,팽나무 (Celtis sinensis Pers.),우동 1494,2012-07-17,343.0
노목 - 정자목,팽나무 (Celtis sinensis Pers.),우동 1494,2012-07-17,511.0
노목 - 당산목,소나무 (Pinus densiflora Siebold & Zucc.),석대동 산136,1980-12-08,293.0
노목 - 희귀목,소나무 (Pinus densiflora Siebold & Zucc.),송정동 835,2000-06-26,311.0
노목 - 당산목,회화나무 (Sophora japonica L.),괴정동 1247-35,,662.0
노목 - 당산목,회화나무 (Sophora japonica L.),괴정동 1244-5,1993-10-12,678.0
노목 - 당산목,팽나무 (Celtis sinensis Pers.),괴정동 206-10,,142.0
노목 - 당산목,팽나무 (Celtis sinensis Pers.),당리동 316-1,1982-10-11,240.0
노목 - 정자목,팽나무 (Celtis sinensis Pers.),하단동 607-4,1982-10-11,340.0
노목 - 당산목,회화나무 (Sophora japonica L.),구평동 207-1,,190.0
노목 - 당산목,팽나무 (Celtis sinensis Pers.),감천동 140-2,,440.0
노목 - 당산목,느티나무 (Zelkova serrata(Thunb.) Makino),감천동 234-4,,163.0
노목 - 당산목,느릅나무 (Ulmus davidiana var. japonica (Rehder) Nakai),사하구 감천동 140-4,2022-01-12,201.0
