번호,시도명,시군구명,관리기관명,지정번호,보호수지정일자,보호수해지일자,보호수유형명,과명,학명,나무종류,그루수,나무나이,나무높이,가슴높이둘레,나무갓지름,품격명,지목명,지적,소유자구분,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,데이터기준일자
30,부산광역시,사하구,부산광역시사하구청,2-10-3-2,1982-10-11,,노목,느릅나무과,Celtis sinensis Pers.,팽나무,1,301,20,4.1,22,시·군나무,대,397.7,개인,부산광역시 사하구 하신중앙로 290 (하단동),부산광역시 사하구 하단동 607-4,35.10328488,128.962494,2024-02-22
31,부산광역시,사하구,부산광역시사하구청,2-10-7-0-1,1980-12-08,,노목,콩과,Sophora japonica L.,회화나무,1,151,13,2.5,15,마을나무,대,211,공공,,부산광역시 사하구 구평동 207-1,35.078788,128.990594,2024-02-22
32,부산광역시,사하구,부산광역시사하구청,2-10-8-1,1980-12-08,,노목,느릅나무과,Celtis sinensis Pers.,팽나무,1,401,15,5.2,21,시·군나무,잡종지,227,공공,,부산광역시 사하구 감천동 140-2,35.085551,129.006618,2024-02-22
33,부산광역시,사하구,부산광역시사하구청,2-10-8-2,2009-10-01,,노목,느릅나무과,Zelkova serrata(Thunb.) Makino,느티나무,1,151,15,3,18,시·군나무,전,36,개인,부산광역시 사하구 원양로 350 (감천동),부산광역시 사하구 감천동 234-4,35.08181321,129.006194,2024-02-22
34,부산광역시,서구,부산광역시 서구,2-2-2022-2-7,2022-01-12,,노목+거목,,,곰솔,1,132,23,2.8,,시·군나무,대,25,공공,"부산광역시 서구 암남공원로 185, 국립동물검역소부산지소 (암남동)",부산광역시 서구 암남동 620-2 국립동물검역소부산지소,35.063389,129.014605,2024-07-15
35,부산광역시,북구,부산광역시 북구청,2-8-1-0,1980-12-08,,노목,,,팽나무,4,436,13,3,,시·군나무,공원,10178,,부산광역시 북구 화명대로12번길 22 (화명동),부산광역시 북구 화명동 2279,36.23291743,129.0081371,2024-07-18
36,부산광역시,강서구,부산광역시 강서구,부산-강서구-2022-3-5,2022-01-12,,거목+노목,,,팽나무,1,102,20.7,0.69,,마을나무,대,,개인,부산광역시 강서구 낙동남로456번길 50(녹산동),부산광역시 강서구 녹산동 732,35.0633,128.52,2024-07-23
37,부산광역시,수영구,부산광역시 수영구청,2-14-1-0-1,2014-12-31,,노목,느릅나무과,Celtis sinensis Persoon,팽나무,1,408,12,4.7,15,마을나무,도로,584,공공,,부산광역시 수영구 남천동 199-1,35.140426,129.109055,2023-06-30
38,부산광역시,수영구,부산광역시 수영구청,2-14-10-0-1,1980-12-08,2019-08-21,노목,느릅나무과,Celtis sinensis Persoon,팽나무,1,149,8,2.4,15,마을나무,대,46107,공공,부산광역시 수영구 수영로 776,,35.16651316,129.122039,2023-06-30
39,부산광역시,수영구,부산광역시 수영구청,2-14-3-0-4,1980-12-08,,노목,소나무과,Pinus densiflora,소나무,1,242,15,2.3,8,면나무,임야,974,공공,,부산광역시 수영구 수영동 364,35.172365,129.113729,2023-06-30
40,부산광역시,수영구,부산광역시 수영구청,2-14-3-0-3,1980-12-08,,노목,소나무과,Pinus densiflora,소나무,1,242,10,2.5,9,마을나무,공원,5233,공공,부산광역시 수영구 수영성로 43,부산광역시 수영구 수영동 229-1,35.17121038,129.113911,2023-06-30
41,부산광역시,수영구,부산광역시 수영구청,2-14-3-0-2,1980-12-08,,노목,소나무과,Pinus densiflora,소나무,1,222,15,2.3,8,마을나무,공원,5233,공공,부산광역시 수영구 수영성로 43,부산광역시 수영구 수영동 231,35.1712117064,129.1139531446,2023-06-30
42,부산광역시,수영구,부산광역시 수영구청,2-14-3-0-1,1980-12-08,,노목,느릅나무과,Celtis sinensis Persoon,팽나무,1,192,15,2,12,마을나무,대,192,공공,부산광역시 수영구 구락로25번가길 19,부산광역시 수영구 수영동 119,35.17063233,129.118783,2023-06-30
43,부산광역시,수영구,부산광역시 수영구청,2-14-3-2,1980-12-08,,노목,소나무과,Pinus densiflora,소나무,1,242,13,2.6,6,면나무,공원,5233,공공,부산광역시 수영구 수영성로 43,부산광역시 수영구 수영동 229-1,35.17121038,129.113911,2023-06-30
44,부산광역시,수영구,부산광역시 수영구청,2-14-3-1,1980-12-08,,노목,소나무과,Pinus densiflora,소나무,1,242,16,3.3,6,면나무,공원,5233,공공,부산광역시 수영구 수영성로 43,부산광역시 수영구 수영동 229-1,35.17121038,129.113911,2023-06-30
45,부산광역시,수영구,부산광역시 수영구청,2-14-1,1980-12-08,,노목,느릅나무과,Celtis sinensis Persoon,팽나무,1,442,12,4,15,시·군나무,임야,615,공공,,부산광역시 수영구 망미동 산 7-2,35.181911,129.115297,2023-06-30
46,부산광역시,기장군,부산광역시 기장군,부산-기장군-2022-3-151,2022-01-12,,거목,느릅나무과,Celtis sinensis Pers.,팽나무,1,147,17,0.91,0.91,시·군나무,공원,8124,공공,,부산광역시 기장군 일광읍 삼성리 801,35.26098196,129.2202531,2024-01-18
47,부산광역시,기장군,부산광역시 기장군,부산-기장군-2022-3-150,2022-01-12,,거목,느릅나무과,Celtis sinensis Pers.,팽나무,1,117,21,1.42,1.42,시·군나무,공원,8124,공공,,부산광역시 기장군 일광읍 삼성리 801,35.26086096,129.2200208,2024-01-18
48,부산광역시,기장군,부산광역시 기장군,2-16-5-5,2016-04-22,,노목,소나무과,Pinus densiflora Siebold &amp; Zucc.,소나무,115,257,23,2,0.6,면나무,임야,324661,개인,,부산광역시 기장군 철마면 웅천리 산264-1,35.28629665,129.1734994,2024-01-18
49,부산광역시,기장군,부산광역시 기장군,2-16-5-4,2016-04-22,,희귀목,콩과,Sophora japonica L.,회화나무,1,287,9,1,0.3,마을나무,구거,3430,공공,,부산광역시 기장군 철마면 연구리 688,35.27850561,129.1606478,2024-01-18
50,부산광역시,기장군,부산광역시 기장군,2-16-5-3,2016-04-22,,노목,콩과,Sophora japonica L.,회화나무,1,187,12,0.9,2.9,마을나무,도로,173,공공,,부산광역시 기장군 철마면 연구리 674-5,35.27717005,129.1684415,2024-01-18
51,부산광역시,기장군,부산광역시 기장군,2-16-3-4,2016-04-22,,노목,느릅나무과,Celtis sinensis Pers.,팽나무,1,207,11,0.4,1.3,면나무,학교용지,15123,공공,"부산광역시 기장군 일광면 이화로 147, 부산예빛학교",부산광역시 기장군 일광읍 화전리 111 부산예빛학교,35.27950231,129.2317103,2024-01-18
52,부산광역시,기장군,부산광역시 기장군,2-16-3-3,2016-04-22,,거목,소나무과,Pinus thunbergii Parl.,곰솔,1,107,14,0.8,2.6,마을나무,도로,116,공공,,부산광역시 기장군 일광읍 신평리 55-3,35.29631834,129.258964,2024-01-18
53,부산광역시,기장군,부산광역시 기장군,2-16-4-3,2016-04-22,,거목,소나무과,Pinus densiflora Siebold &amp; Zucc.,소나무,1,107,18,0.9,2.9,마을나무,공원,10805,공공,,부산광역시 기장군 정관읍 모전리 726,35.33631902,129.1648819,2024-01-18
54,부산광역시,기장군,부산광역시 기장군,2-16-4-2,2016-04-22,,거목,콩과,Sophora japonica L.,회화나무,1,107,14,1,3.3,마을나무,공원,2103,공공,,부산광역시 기장군 정관읍 용수리 1320,35.32632562,129.1750688,2024-01-18
