번호,시도명,시군구명,관리기관명,지정번호,보호수지정일자,보호수해지일자,보호수유형명,과명,학명,나무종류,그루수,나무나이,나무높이,가슴높이둘레,나무갓지름,품격명,지목명,지적,소유자구분,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,데이터기준일자
122,제주특별자치도,제주시,제주특별자치도,13-3-3-9-21,1982-10-22,,노목+거목,,,팽나무,1,150,7,200,,마을나무,도로,국(건설부),공공,,제주특별자치도 제주시 구좌읍 평대리 3344(평대리 1757-1 앞),33.5289984,126.836597,2024-07-24
123,제주특별자치도,제주시,제주특별자치도,13-3-3-10-22,1982-10-22,,노목+거목,,,팽나무,1,150,9,400,,마을나무,도로,국(건설부),공공,,제주특별자치도 제주시 구좌읍 세화리 3637(세화리 110 앞),33.5144041,126.860595,2024-07-24
124,제주특별자치도,제주시,제주특별자치도,13-3-8,1982-10-22,,노목+거목,,,팽나무,1,360,11,280,,마을나무,도로,국(건설부),공공,,제주특별자치도 제주시 조천읍 대흘리 2787(대흘리 1682-1 앞),33.4987648,126.658887,2024-07-24
125,제주특별자치도,제주시,제주특별자치도,13-3-5-6,1982-10-22,,노목+거목,,,팽나무,1,260,13,500,,마을나무,도로,제주특별자치도,공공,,제주특별자치도 제주시 조천읍 신촌리 1408-1,33.5182179,126.623655,2024-07-24
126,제주특별자치도,제주시,제주특별자치도,13-3-5-7,1982-10-22,,노목+거목,,,팽나무,1,260,10,200,,마을나무,종교용지,제주특별자치도,공공,,제주특별자치도 제주시 조천읍 신흥리 511-1,33.5472825,126.650351,2024-07-24
127,제주특별자치도,제주시,제주특별자치도,13-3-5-8,1982-10-22,,노목+거목,,,팽나무,1,250,8,300,,마을나무,도로,국(건설부),공공,,제주특별자치도 제주시 조천읍 북촌리 2688(북촌리 510-1 앞),33.5493150,126.696029,2024-07-24
128,제주특별자치도,제주시,제주특별자치도,13-3-5-9,1982-10-22,,노목+거목,,,팽나무,1,260,9,300,,마을나무,도로,국(건설부),공공,,제주특별자치도 제주시 조천읍 북촌리 2688(북촌리 1345 앞),33.5492604,126.692229,2024-07-24
129,제주특별자치도,제주시,제주특별자치도,13-3-5-10,1982-10-22,,노목+거목,,,팽나무,1,260,7,600,,마을나무,도로,국(건설부),공공,,제주특별자치도 제주시 조천읍 대흘리 2787(대흘리 2252-2 앞),33.4983738,126.654454,2024-07-24
130,제주특별자치도,제주시,제주특별자치도,13-3-5-12,1982-10-22,,노목+거목,,,팽나무,1,280,13,450,,마을나무,도로,국(건설부),공공,,제주특별자치도 제주시 조천읍 교래리 837(교래리 205 앞),33.4259570,126.674269,2024-07-24
131,제주특별자치도,제주시,제주특별자치도,13-3-7,1982-10-22,,노목+거목,,,팽나무,1,360,7,300,,마을나무,도로,국(건설부),공공,,제주특별자치도 제주시 한경면 조수리 4146(조수리 149 옆),33.3344244,126.238409,2024-07-24
132,제주특별자치도,제주시,제주특별자치도,13-3-4-5,1982-10-22,,노목+거목,,,팽나무,1,230,10,100,,마을나무,대,문영진,개인,,제주특별자치도 제주시 한경면 청수리 1627-1,33.3217473,126.245672,2024-07-24
133,제주특별자치도,제주시,제주특별자치도,13-3-4-9-26,1982-10-22,,노목+거목,,,팽나무,1,120,7,300,,마을나무,대,제주특별자치도,공공,,제주특별자치도 제주시 한경면 조수리 1309,33.3376670,126.226254,2024-07-24
