t_ce_na,t_num,t_sdate,t_ty,t_fna,t_bna,t_tty,t_age,t_fr,t_gr,t_gr_num,t_rad,t_ad
서울특별시중구청,서2-11,1985-10-02,노목,소나무과,pinus densiflora,소나무,90,시·군나무,임야,,서울특별시 중구 장충동2가 산14-21,서울특별시 중구 장충동2가 산14-21
서울특별시중구청,서2-12,1985-10-02,노목,소나무과,pinus densiflora,소나무,70,시·군나무,임야,,서울특별시 중구 장충동2가 산14-21,서울특별시 중구 장충동2가 산14-21
서울특별시중구청,서2-13,1996-08-16,노목,측백나무과,Juniperus chinensis,향나무,300,시·군나무,대,,서울특별시 중구 창경궁로 17,서울특별시 중구 예관동 120-1
서울특별시중구청,서2-14,2006-07-13,노목,느릅나무과,zelkova serrata,느티나무,140,시·군나무,대,,서울특별시 중구 필동2가 128-9,서울특별시 중구 필동2가 128-9
서울특별시중구청,서2-1,1972-10-12,노목,콩과,sophora japonica,회화나무,825,시·군나무,대,,서울특별시 중구 서소문로11길 43,서울특별시 중구 정동 34-16
서울특별시중구청,서2-2,1972-10-12,노목,측백나무과,Juniperus chinensis,향나무,525,시·군나무,대,,서울특별시 중구 서소문로11길 19,서울특별시 중구 정동 34-5
서울특별시중구청,서2-3,1976-11-17,노목,콩과,sophora japonica,회화나무,520,시·군나무,도로,,서울특별시 중구 정동길 21,서울특별시 중구 정동 16-1
서울특별시중구청,서2-4,1972-10-12,노목,은행나무과,ginkgo biloba,은행나무,475,시·군나무,대,,서울특별시 중구 소공로 51,서울특별시 중구 회현동 1가 203
서울특별시중구청,서2-5,1972-10-12,노목,은행나무과,ginkgo biloba,은행나무,475,시·군나무,도로,,서울특별시 중구 회현동 1가 36-7,서울특별시 중구 회현동 1가 36-7
서울특별시중구청,서2-6,1996-08-16,노목,느릅나무과,zelkova serrata,느티나무,450,시·군나무,대,,서울특별시 중구 퇴계로26가길 6,서울특별시 중구 예장동 2-1
서울특별시중구청,서2-7,1996-08-16,노목,은행나무과,ginkgo biloba,은행나무,400,시·군나무,대,,서울특별시 중구 퇴계로26가길 6,서울특별시 중구 예장동 2-1
서울특별시중구청,서2-8,1972-10-12,노목,무환자나무과,koelreuteria paniculata,모감주나무,80,시·군나무,공원,,서울특별시 중구 남대문로5가 467,서울특별시 중구 남대문로 5가 467
동대문구청,서6-1,1981-10-27,노목,,,향나무,515,시·군나무,공원,,서울특별시 동대문구 전농로 212-6 (전농동),서울특별시 동대문구 전농동 150-1
동대문구청,서6-4,2005-07-21,노목,,,비술나무,90,시·군나무,공원,,"서울특별시 동대문구 이문로12길 3-10 (이문동, 래미안이문2차아파트)",서울특별시 동대문구 이문동 311 래미안이문2차아파트
동대문구청,서6-3,2000-12-20,노목,,,물푸레나무,270,시·군나무,공원,,서울특별시 동대문구 사가정로9길 42 (전농동),서울특별시 동대문구 전농동 270-41
동대문구청,서6-2,1981-10-27,노목,,,느티나무,315,시·군나무,공원,,"서울특별시 동대문구 사가정로2길 59, 답십리 감리교회 (답십리동)",서울특별시 동대문구 답십리동 1004-3 답십리 감리교회
서울특별시 강서구청,서16-8,1981-10-27,노목,은행나무과,Ginkgo biloba,은행나무,425,시·군나무,대,,서울특별시 강서구 발산로 40,서울특별시 강서구 외발산동 427
서울특별시 강서구청,서16-7,1974-04-20,노목,측백나무과,Juniperus chinensis,향나무,470,시·군나무,대,,,서울특별시 강서구 개화동 629-22
